name;hue;saturation;luminosity
Lilac Luster;311;12;64
Pink lavender;311;33;77
Purple pizzazz;312;99;65
Hot magenta;313;100;56
Orchid;314;55;75
Dark byzantium;315;24;29
Razzle dazzle rose;315;100;60
Shocking pink;315;98;52
Antique fuchsia;316;22;46
Pearly purple;316;35;56
Violet;316;42;41
Opera mauve;319;26;62
Pink lace;319;100;93
Fandango;320;56;46
Flirt;320;100;32
Hollywood cerise;320;100;48
Rose pink;320;100;70
Sky magenta;320;50;63
Taupe gray;320;3;53
Frostbite;322;80;56
Medium violet-red;322;81;43
Red-violet;322;81;43
Mountbatten pink;323;13;54
Mulberry;323;52;55
Super pink;323;51;62
Red-violet;324;50;51
Maximum red purple;325;48;44
Middle purple;325;53;68
Sugar Plum;325;30;44
Tyrian purple;325;96;20
Magenta;326;100;50
Persian rose;326;99;58
Magenta haze;327;39;45
Mexican pink;327;100;45
Amaranth deep purple;328;57;40
Deep pink;328;100;54
Jazzberry jam;328;88;35
Magenta;328;73;46
Mulberry;328;51;53
Pink;328;64;56
Red-purple;328;100;45
Eggplant;329;21;32
Kobi;329;60;76
Magenta;329;90;65
Mystic maroon;329;44;47
Pansy purple;329;67;28
Persian pink;329;88;73
Smitten;329;55;52
Twilight lavender;329;31;41
Wild Strawberry;329;100;63
Deep cerise;330;69;53
Hot pink;330;100;71
Rose;330;100;50
Rose bonbon;330;94;62
Wild orchid;330;54;64
Winter Sky;331;100;50
China pink;333;63;65
Liseran purple;333;63;65
Thulian pink;333;63;65
Violet-red;333;83;65
Cotton candy;334;100;87
French fuchsia;334;98;62
Magenta;334;60;54
Pale Dogwood;334;76;70
Rose Pompadour;334;76;70
Telemagenta;334;62;51
Rubine red;335;100;41
Carnation pink;336;100;83
Mimi pink;336;100;93
Old mauve;336;36;30
Queen pink;336;38;85
Violet-red;336;91;65
Wine dregs;336;36;30
Raspberry;337;91;47
Ruby;337;86;47
Amaranth pink;338;75;78
Cyclamen;338;87;70
English lavender;338;25;61
Fandango pink;338;68;60
Irresistible;338;45;48
Maroon;338;57;44
Mystic;338;62;58
Pictorial carmine;338;89;40
Quinacridone magenta;338;42;39
Raspberry rose;338;45;48
Razzmatazz;338;77;52
French pink;339;97;71
Nadeshiko pink;339;80;82
Ruber;339;58;54
Red;339;100;43
Cameo pink;340;62;84
Charm pink;340;64;73
Lavender blush;340;100;97
Rose red;340;73;44
Spanish carmine;340;100;41
Amaranth purple;342;63;41
Blush;342;66;62
Carmine;342;100;42
Orchid pink;342;67;85
Tickle Me Pink;342;95;76
Cerise;343;72;53
Cinnamon Satin;343;52;59
Claret;343;69;29
Mauve taupe;343;21;47
Piggy pink;343;89;93
Raspberry glace;343;21;47
Baker-Miller pink;344;100;78
Rose Dust;344;25;49
Schauss pink;344;100;78
Vanilla ice;344;81;76
Big dip o ruby;345;62;38
Burgundy;345;100;25
Puce;345;40;67
Red;345;100;47
Red;345;98;39
Bright maroon;346;71;45
Maroon;346;71;45
Pink Sherbet;346;87;76
Paradise pink;347;77;57
Red;347;86;53
Catawba;348;35;33
Cherry blossom pink;348;100;86
Crimson;348;83;47
Infrared;348;100;64
Mauvelous;348;73;77
Radical Red;348;100;60
University of Pennsylvania red;348;100;32
Black Shadows;349;11;72
Crimson;349;71;36
French raspberry;349;64;48
Neon fuchsia;349;99;63
Shimmering Blush;349;52;69
Vivid burgundy;349;69;37
Antique ruby;350;66;31
Cardinal;350;74;44
Carmine;350;100;29
Fiery rose;350;100;67
Medium candy apple red;350;95;45
Pink;350;100;88
Popstar;350;46;53
Red-violet;350;55;37
Salmon pink;350;100;78
Spanish red;350;100;45
Ultra red;350;96;71
Wild watermelon;350;96;71
Light pink;351;100;86
Sizzling Red;351;100;61
Alizarin;352;71;52
Brick red;352;57;53
Rusty red;352;70;51
Solid pink;352;42;38
Rosewood;353;100;20
Wine;353;42;32
Pale pink;354;76;92
Ruby red;354;80;34
Candy pink;355;68;67
Cordovan;355;37;39
Imperial red;355;84;55
Japanese carmine;355;59;39
Lava;355;86;44
Red;355;85;55
Red Salsa;355;98;61
Rocket metallic;355;5;52
Rose madder;355;77;52
Tango pink;355;68;67
Deep taupe;356;15;43
English red;356;39;48
Upsdell red;356;69;40
Venetian red;356;92;41
Fire engine red;357;73;47
Rose vale;357;37;49
English vermillion;358;57;54
Red;358;85;52
Madder Lake;359;60;50
Old rose;359;34;63
Strawberry;359;94;65
Maroon;359;76;27
Crimson red;360;71;30
